t,bgx,bgy,bgz
79.53,5.225675266049991e-05,-3.6788712697556306e-05,7.843448093876908e-05
79.54,5.5801514901369775e-05,-3.9007805573102265e-05,8.056720011976552e-05
79.55,5.888706707465725e-05,-3.072320083932548e-05,8.00641422773904e-05
79.56,5.714550909293882e-05,-2.9046475851892452e-05,8.131253245420896e-05
79.57000000000001,5.366651836861299e-05,-2.519483657028936e-05,8.473851142779086e-05
79.58,5.807663157284585e-05,-2.573801411852177e-05,8.202402442518805e-05
79.59,6.289628497315053e-05,-1.8410418818831807e-05,8.981632824974739e-05
79.60000000000001,7.7301532904364e-05,-1.506226731897504e-05,9.36262866561038e-05
79.61,7.763037954312643e-05,-1.4794558682607019e-05,8.86709211123848e-05
79.62,7.358640550512115e-05,-8.8465240206999e-06,9.205095465015237e-05
79.63,6.825645164041888e-05,-1.6922084205772907e-05,9.453572994131373e-05
79.64,6.121147080975092e-05,-1.2709072323133962e-05,9.350837651242421e-05
79.65,5.6832938935239536e-05,-1.2018980189271528e-05,8.942790066888313e-05
79.66,5.335589988440979e-05,-8.273659796950865e-06,8.406167291421742e-05
79.67,5.164887825282496e-05,-4.55172501059412e-06,9.096710028184763e-05
79.68,4.995251518474513e-05,-1.2654101720509833e-05,9.476987332127198e-05
79.69,5.263751150227906e-05,-1.0216045871055125e-05,9.417813464939941e-05
79.7,5.486866609058305e-05,-6.0449061792162475e-06,9.315301402884542e-05
79.71000000000001,5.0529738393106204e-05,-1.0204268899196794e-05,9.519383137524391e-05
79.72,4.315836559636167e-05,-1.2589353802744694e-05,9.503652226641085e-05
79.73,3.932963320673303e-05,-1.0588778973638995e-05,8.919819780253434e-05
79.74,4.776295589000226e-05,-1.1660232802098932e-05,9.213786231185625e-05
79.75,4.434254939056391e-05,-1.57845336843711e-05,9.28737880061557e-05
79.76,3.744688585094037e-05,-1.9008929149427538e-05,9.01085047157749e-05
79.77,3.5402122624108564e-05,-1.69682707910673e-05,8.998294814958145e-05
79.78,3.3370126803560674e-05,-1.1443740309437703e-05,9.116940576483992e-05
79.79,3.397327909441651e-05,-1.3384009273902294e-05,8.885184129510252e-05
79.8,3.544681880521687e-05,-9.630165703599872e-06,8.74229010646312e-05
79.81,3.516285085327031e-05,-8.959298119164971e-06,8.906242023193503e-05
79.82000000000001,3.881434662029442e-05,-8.729696138027118e-06,8.806924189376523e-05
79.83,3.064197070899969e-05,-1.5082999830662397e-06,8.795641838958435e-05
79.84,3.344754116619452e-05,-1.7622984243745724e-06,8.478476218852739e-05
79.85000000000001,3.230190313590535e-05,-5.948401547568177e-06,7.901044923675263e-05
79.86,3.1600495153448546e-05,-7.922983151129498e-06,7.458342103801835e-05
79.87,3.221469694184688e-05,-1.5807775491951674e-06,7.411772563333156e-05
79.88,3.5884600844483336e-05,-1.3972467065905534e-06,7.45290914837825e-05
79.89,3.647205287662484e-05,5.334451274599623e-07,6.925589119924958e-05
79.9,3.0499685825134802e-05,2.8891585490546507e-06,7.450545822835208e-05
79.91,3.1557837753039794e-05,2.607702581633011e-06,6.748409855929163e-05
79.92,3.610599652857224e-05,-2.944564120558332e-07,6.749980773063774e-05
79.93,3.8440373125854254e-05,-5.363878147096137e-06,5.964803754202204e-05
79.94,3.901186703499293e-05,-5.1567258006848605e-06,5.927559797576058e-05
79.95,3.564610192648554e-05,-1.0171762675553984e-06,5.540887000584598e-05
79.96000000000001,2.967889207423141e-05,1.7852958991249602e-06,5.3751669391992256e-05
79.97,2.855678531321939e-05,4.570269560217062e-06,5.429019994837207e-05
79.98,3.22495290455733e-05,3.84124007662835e-06,5.657367489453115e-05
79.99,2.542937376134e-05,3.553839356524132e-06,5.097551065692883e-05
80.0,3.0889951855131175e-05,4.5794633652253895e-06,4.7160608045374036e-05
